Name,City,Country Code,Days,Start,End
aamaya indian restaurant brisbane,Brisbane,AU,0,1100,2130
aamaya indian restaurant brisbane,Brisbane,AU,1,1100,1430
aamaya indian restaurant brisbane,Brisbane,AU,1,1700,2130
aamaya indian restaurant brisbane,Brisbane,AU,2,1100,1430
aamaya indian restaurant brisbane,Brisbane,AU,2,1700,2130
aamaya indian restaurant brisbane,Brisbane,AU,3,1100,1430
aamaya indian restaurant brisbane,Brisbane,AU,3,1700,2130
aamaya indian restaurant brisbane,Brisbane,AU,4,1100,1430
aamaya indian restaurant brisbane,Brisbane,AU,4,1700,2130
aamaya indian restaurant brisbane,Brisbane,AU,5,1100,2130
aamaya indian restaurant brisbane,Brisbane,AU,6,1100,2130
