Name,City,Country Code,Days,Start,End
aria restaurant sydney sydney,Sydney,AU,0,1200,1430
aria restaurant sydney sydney,Sydney,AU,0,1730,2300
aria restaurant sydney sydney,Sydney,AU,1,1200,1430
aria restaurant sydney sydney,Sydney,AU,1,1730,2300
aria restaurant sydney sydney,Sydney,AU,2,1200,1430
aria restaurant sydney sydney,Sydney,AU,2,1730,2300
aria restaurant sydney sydney,Sydney,AU,3,1200,1430
aria restaurant sydney sydney,Sydney,AU,3,1730,2300
aria restaurant sydney sydney,Sydney,AU,4,1200,1430
aria restaurant sydney sydney,Sydney,AU,4,1730,2300
aria restaurant sydney sydney,Sydney,AU,5,1700,2300
aria restaurant sydney sydney,Sydney,AU,6,1800,2200
