Name,City,Country Code,Days,Start,End
authentic bites dumpling house perth,Perth,AU,0,1130,1500
authentic bites dumpling house perth,Perth,AU,0,1730,2100
authentic bites dumpling house perth,Perth,AU,1,1130,1500
authentic bites dumpling house perth,Perth,AU,1,1730,2100
authentic bites dumpling house perth,Perth,AU,2,1130,1500
authentic bites dumpling house perth,Perth,AU,2,1730,2100
authentic bites dumpling house perth,Perth,AU,3,1130,1500
authentic bites dumpling house perth,Perth,AU,3,1730,2100
authentic bites dumpling house perth,Perth,AU,4,1130,1500
authentic bites dumpling house perth,Perth,AU,4,1730,2100
authentic bites dumpling house perth,Perth,AU,5,1130,1500
authentic bites dumpling house perth,Perth,AU,5,1730,2100
authentic bites dumpling house perth,Perth,AU,6,1130,1500
authentic bites dumpling house perth,Perth,AU,6,1730,2100
