Name,City,Country Code,Days,Start,End
bangkok on william perth,Perth,AU,0,1100,1600
bangkok on william perth,Perth,AU,0,1730,2130
bangkok on william perth,Perth,AU,1,1100,1600
bangkok on william perth,Perth,AU,1,1730,2130
bangkok on william perth,Perth,AU,2,1100,1600
bangkok on william perth,Perth,AU,2,1730,2130
bangkok on william perth,Perth,AU,3,1100,1600
bangkok on william perth,Perth,AU,3,1730,2130
bangkok on william perth,Perth,AU,4,1100,1600
bangkok on william perth,Perth,AU,4,1730,2130
bangkok on william perth,Perth,AU,5,1100,1600
bangkok on william perth,Perth,AU,5,1730,2130
bangkok on william perth,Perth,AU,6,1100,1600
bangkok on william perth,Perth,AU,6,1730,2130
