Name,City,Country Code,Days,Start,End
cbd restaurant and bar perth,Perth,AU,0,0600,1000
cbd restaurant and bar perth,Perth,AU,0,1100,0000
cbd restaurant and bar perth,Perth,AU,1,0600,1000
cbd restaurant and bar perth,Perth,AU,1,1100,0000
cbd restaurant and bar perth,Perth,AU,2,0600,1000
cbd restaurant and bar perth,Perth,AU,2,1100,0000
cbd restaurant and bar perth,Perth,AU,3,0600,1000
cbd restaurant and bar perth,Perth,AU,3,1100,0000
cbd restaurant and bar perth,Perth,AU,4,0600,1000
cbd restaurant and bar perth,Perth,AU,4,1100,0000
cbd restaurant and bar perth,Perth,AU,5,0700,0000
cbd restaurant and bar perth,Perth,AU,6,0700,2200
