Name,City,Country Code,Days,Start,End
chick in melbourne,Melbourne,AU,0,1200,1500
chick in melbourne,Melbourne,AU,0,1730,2200
chick in melbourne,Melbourne,AU,1,1200,1500
chick in melbourne,Melbourne,AU,1,1730,2200
chick in melbourne,Melbourne,AU,2,1200,1500
chick in melbourne,Melbourne,AU,2,1730,0000
chick in melbourne,Melbourne,AU,3,1200,1500
chick in melbourne,Melbourne,AU,3,1730,0000
chick in melbourne,Melbourne,AU,4,1200,1500
chick in melbourne,Melbourne,AU,4,1730,0000
chick in melbourne,Melbourne,AU,5,1730,0000
