Name,City,Country Code,Days,Start,End
custom pizzeria braddon,Braddon,AU,0,1130,1500
custom pizzeria braddon,Braddon,AU,0,1730,0000
custom pizzeria braddon,Braddon,AU,1,1130,1500
custom pizzeria braddon,Braddon,AU,1,1730,0000
custom pizzeria braddon,Braddon,AU,2,1130,1500
custom pizzeria braddon,Braddon,AU,2,1730,0000
custom pizzeria braddon,Braddon,AU,3,1130,1500
custom pizzeria braddon,Braddon,AU,3,1730,0000
custom pizzeria braddon,Braddon,AU,4,1130,1500
custom pizzeria braddon,Braddon,AU,4,1730,0000
custom pizzeria braddon,Braddon,AU,5,1130,1500
custom pizzeria braddon,Braddon,AU,5,1730,0000
custom pizzeria braddon,Braddon,AU,6,1130,1500
custom pizzeria braddon,Braddon,AU,6,1730,0000
