Name,City,Country Code,Days,Start,End
delhi streets melbourne,Melbourne,AU,0,1130,1430
delhi streets melbourne,Melbourne,AU,0,1730,2130
delhi streets melbourne,Melbourne,AU,1,1130,1430
delhi streets melbourne,Melbourne,AU,1,1730,2130
delhi streets melbourne,Melbourne,AU,2,1130,1430
delhi streets melbourne,Melbourne,AU,2,1730,2130
delhi streets melbourne,Melbourne,AU,3,1130,1430
delhi streets melbourne,Melbourne,AU,3,1730,2130
delhi streets melbourne,Melbourne,AU,4,1130,1430
delhi streets melbourne,Melbourne,AU,5,1730,2130
