Name,City,Country Code,Days,Start,End
don too melbourne,Melbourne,AU,0,1100,1530
don too melbourne,Melbourne,AU,0,1700,2100
don too melbourne,Melbourne,AU,1,1100,1530
don too melbourne,Melbourne,AU,1,1700,2100
don too melbourne,Melbourne,AU,2,1100,1530
don too melbourne,Melbourne,AU,2,1700,2100
don too melbourne,Melbourne,AU,3,1100,1530
don too melbourne,Melbourne,AU,3,1700,2100
don too melbourne,Melbourne,AU,4,1100,1530
don too melbourne,Melbourne,AU,4,1700,2100
don too melbourne,Melbourne,AU,5,1700,2100
