Name,City,Country Code,Days,Start,End
flower drum melbourne,Melbourne,AU,0,1200,1500
flower drum melbourne,Melbourne,AU,0,1800,2300
flower drum melbourne,Melbourne,AU,1,1200,1500
flower drum melbourne,Melbourne,AU,1,1800,2300
flower drum melbourne,Melbourne,AU,2,1200,1500
flower drum melbourne,Melbourne,AU,2,1800,2300
flower drum melbourne,Melbourne,AU,3,1200,1500
flower drum melbourne,Melbourne,AU,3,1800,2300
flower drum melbourne,Melbourne,AU,4,1200,1500
flower drum melbourne,Melbourne,AU,4,1800,2300
flower drum melbourne,Melbourne,AU,5,1200,1500
flower drum melbourne,Melbourne,AU,5,1800,2300
flower drum melbourne,Melbourne,AU,6,1800,2230
