Name,City,Country Code,Days,Start,End
fourteen surry hills,Surry Hills,AU,1,1200,1500
fourteen surry hills,Surry Hills,AU,1,1800,0000
fourteen surry hills,Surry Hills,AU,2,1200,1500
fourteen surry hills,Surry Hills,AU,2,1800,0000
fourteen surry hills,Surry Hills,AU,3,1200,1500
fourteen surry hills,Surry Hills,AU,3,1800,0000
fourteen surry hills,Surry Hills,AU,4,1200,1500
fourteen surry hills,Surry Hills,AU,4,1800,0000
fourteen surry hills,Surry Hills,AU,5,1200,1500
fourteen surry hills,Surry Hills,AU,5,1800,0000
fourteen surry hills,Surry Hills,AU,6,1200,1800
