Name,City,Country Code,Days,Start,End
garnish of india canberra,Canberra,AU,0,1700,2200
garnish of india canberra,Canberra,AU,1,1700,2200
garnish of india canberra,Canberra,AU,2,1200,1400
garnish of india canberra,Canberra,AU,2,1700,2200
garnish of india canberra,Canberra,AU,3,1200,1400
garnish of india canberra,Canberra,AU,3,1700,2200
garnish of india canberra,Canberra,AU,4,1200,1400
garnish of india canberra,Canberra,AU,4,1700,2200
garnish of india canberra,Canberra,AU,5,1200,1400
garnish of india canberra,Canberra,AU,5,1700,2200
garnish of india canberra,Canberra,AU,6,1200,1400
garnish of india canberra,Canberra,AU,6,1700,2200
