Name,City,Country Code,Days,Start,End
glass sydney,Sydney,AU,0,0600,1000
glass sydney,Sydney,AU,0,1200,1500
glass sydney,Sydney,AU,0,1800,2300
glass sydney,Sydney,AU,1,0600,1000
glass sydney,Sydney,AU,1,1200,1500
glass sydney,Sydney,AU,1,1800,2300
glass sydney,Sydney,AU,2,0600,1000
glass sydney,Sydney,AU,2,1200,1500
glass sydney,Sydney,AU,2,1800,2300
glass sydney,Sydney,AU,3,0600,1000
glass sydney,Sydney,AU,3,1200,1500
glass sydney,Sydney,AU,3,1800,2300
glass sydney,Sydney,AU,4,0600,1000
glass sydney,Sydney,AU,4,1200,1500
glass sydney,Sydney,AU,4,1800,2300
glass sydney,Sydney,AU,5,0700,1100
glass sydney,Sydney,AU,5,1800,2300
glass sydney,Sydney,AU,6,0700,1100
glass sydney,Sydney,AU,6,1800,2300
