Name,City,Country Code,Days,Start,End
goshu ramen tei sydney,Sydney,AU,0,1130,1500
goshu ramen tei sydney,Sydney,AU,0,1700,2130
goshu ramen tei sydney,Sydney,AU,1,1130,1500
goshu ramen tei sydney,Sydney,AU,1,1700,2130
goshu ramen tei sydney,Sydney,AU,2,1130,1500
goshu ramen tei sydney,Sydney,AU,2,1700,2130
goshu ramen tei sydney,Sydney,AU,3,1130,1500
goshu ramen tei sydney,Sydney,AU,3,1700,2130
goshu ramen tei sydney,Sydney,AU,4,1130,1500
goshu ramen tei sydney,Sydney,AU,4,1700,2130
goshu ramen tei sydney,Sydney,AU,5,1230,1500
goshu ramen tei sydney,Sydney,AU,5,1700,2100
