Name,City,Country Code,Days,Start,End
heirloom east perth,East Perth,AU,0,0600,1430
heirloom east perth,East Perth,AU,0,1700,2130
heirloom east perth,East Perth,AU,1,0600,1430
heirloom east perth,East Perth,AU,1,1700,2130
heirloom east perth,East Perth,AU,2,0600,1430
heirloom east perth,East Perth,AU,2,1700,2130
heirloom east perth,East Perth,AU,3,0600,1430
heirloom east perth,East Perth,AU,3,1700,2130
heirloom east perth,East Perth,AU,4,0600,1430
heirloom east perth,East Perth,AU,4,1700,2130
heirloom east perth,East Perth,AU,5,0700,1430
heirloom east perth,East Perth,AU,5,1700,2130
heirloom east perth,East Perth,AU,6,0700,1430
heirloom east perth,East Perth,AU,6,1700,2130
