Name,City,Country Code,Days,Start,End
im angus steak house sydney,Sydney,AU,0,1200,1500
im angus steak house sydney,Sydney,AU,0,1800,2230
im angus steak house sydney,Sydney,AU,1,1200,1500
im angus steak house sydney,Sydney,AU,1,1800,2230
im angus steak house sydney,Sydney,AU,2,1200,1500
im angus steak house sydney,Sydney,AU,2,1800,2230
im angus steak house sydney,Sydney,AU,3,1200,1500
im angus steak house sydney,Sydney,AU,3,1800,2230
im angus steak house sydney,Sydney,AU,4,1200,1500
im angus steak house sydney,Sydney,AU,4,1800,2230
im angus steak house sydney,Sydney,AU,5,1200,1500
im angus steak house sydney,Sydney,AU,5,1800,0000
