Name,City,Country Code,Days,Start,End
izakaya den melbourne,Melbourne,AU,0,1200,1430
izakaya den melbourne,Melbourne,AU,0,1730,2230
izakaya den melbourne,Melbourne,AU,1,1200,1430
izakaya den melbourne,Melbourne,AU,1,1730,2230
izakaya den melbourne,Melbourne,AU,2,1200,1430
izakaya den melbourne,Melbourne,AU,2,1730,2230
izakaya den melbourne,Melbourne,AU,3,1200,1430
izakaya den melbourne,Melbourne,AU,3,1730,2230
izakaya den melbourne,Melbourne,AU,4,1200,1430
izakaya den melbourne,Melbourne,AU,4,1730,0000
izakaya den melbourne,Melbourne,AU,5,1730,0000
