Name,City,Country Code,Days,Start,End
just pure bistro jpb sydney,Sydney,AU,0,0600,1030
just pure bistro jpb sydney,Sydney,AU,0,1800,2230
just pure bistro jpb sydney,Sydney,AU,1,0600,1030
just pure bistro jpb sydney,Sydney,AU,1,1800,2230
just pure bistro jpb sydney,Sydney,AU,2,0600,1030
just pure bistro jpb sydney,Sydney,AU,2,1800,2230
just pure bistro jpb sydney,Sydney,AU,3,0600,1030
just pure bistro jpb sydney,Sydney,AU,3,1800,2230
just pure bistro jpb sydney,Sydney,AU,4,0600,1030
just pure bistro jpb sydney,Sydney,AU,4,1800,2230
just pure bistro jpb sydney,Sydney,AU,5,0630,1030
just pure bistro jpb sydney,Sydney,AU,5,1800,2230
just pure bistro jpb sydney,Sydney,AU,6,0630,1030
