Name,City,Country Code,Days,Start,End
kingston hotel bistro griffith,Griffith,AU,0,1200,1500
kingston hotel bistro griffith,Griffith,AU,0,1800,2100
kingston hotel bistro griffith,Griffith,AU,1,1200,1500
kingston hotel bistro griffith,Griffith,AU,1,1800,2100
kingston hotel bistro griffith,Griffith,AU,2,1200,1500
kingston hotel bistro griffith,Griffith,AU,2,1800,2100
kingston hotel bistro griffith,Griffith,AU,3,1200,1500
kingston hotel bistro griffith,Griffith,AU,3,1800,2100
kingston hotel bistro griffith,Griffith,AU,4,1200,1500
kingston hotel bistro griffith,Griffith,AU,4,1800,2100
kingston hotel bistro griffith,Griffith,AU,5,1200,2100
kingston hotel bistro griffith,Griffith,AU,6,1200,1500
kingston hotel bistro griffith,Griffith,AU,6,1800,2100
