Name,City,Country Code,Days,Start,End
lotus dumpling bar dawes point,Dawes Point,AU,0,1200,1500
lotus dumpling bar dawes point,Dawes Point,AU,0,1730,2300
lotus dumpling bar dawes point,Dawes Point,AU,1,1200,1500
lotus dumpling bar dawes point,Dawes Point,AU,1,1730,2300
lotus dumpling bar dawes point,Dawes Point,AU,2,1200,1500
lotus dumpling bar dawes point,Dawes Point,AU,2,1730,2300
lotus dumpling bar dawes point,Dawes Point,AU,3,1200,1500
lotus dumpling bar dawes point,Dawes Point,AU,3,1730,2300
lotus dumpling bar dawes point,Dawes Point,AU,4,1200,1500
lotus dumpling bar dawes point,Dawes Point,AU,4,1730,2300
lotus dumpling bar dawes point,Dawes Point,AU,5,1200,1500
lotus dumpling bar dawes point,Dawes Point,AU,5,1730,2300
lotus dumpling bar dawes point,Dawes Point,AU,6,1200,1500
lotus dumpling bar dawes point,Dawes Point,AU,6,1730,2200
