Name,City,Country Code,Days,Start,End
mezzo bar and grill melbourne,Melbourne,AU,0,1200,1430
mezzo bar and grill melbourne,Melbourne,AU,0,1700,2100
mezzo bar and grill melbourne,Melbourne,AU,1,1200,1430
mezzo bar and grill melbourne,Melbourne,AU,1,1700,2100
mezzo bar and grill melbourne,Melbourne,AU,2,1200,1430
mezzo bar and grill melbourne,Melbourne,AU,2,1700,2100
mezzo bar and grill melbourne,Melbourne,AU,3,1200,1430
mezzo bar and grill melbourne,Melbourne,AU,3,1700,2100
mezzo bar and grill melbourne,Melbourne,AU,4,1200,1430
mezzo bar and grill melbourne,Melbourne,AU,4,1700,2130
mezzo bar and grill melbourne,Melbourne,AU,5,1700,2130
