Name,City,Country Code,Days,Start,End
om nom dessert bar melbourne,Melbourne,AU,0,0700,1500
om nom dessert bar melbourne,Melbourne,AU,0,1800,2200
om nom dessert bar melbourne,Melbourne,AU,1,0700,1500
om nom dessert bar melbourne,Melbourne,AU,1,1800,2200
om nom dessert bar melbourne,Melbourne,AU,2,0700,1500
om nom dessert bar melbourne,Melbourne,AU,2,1800,2200
om nom dessert bar melbourne,Melbourne,AU,3,0700,1500
om nom dessert bar melbourne,Melbourne,AU,3,1800,2330
om nom dessert bar melbourne,Melbourne,AU,4,0700,1500
om nom dessert bar melbourne,Melbourne,AU,4,1800,2330
om nom dessert bar melbourne,Melbourne,AU,5,0700,1500
om nom dessert bar melbourne,Melbourne,AU,5,1800,2330
om nom dessert bar melbourne,Melbourne,AU,6,0700,1600
om nom dessert bar melbourne,Melbourne,AU,6,1800,2200
