Name,City,Country Code,Days,Start,End
oshin japanese restaurant brisbane,Brisbane,AU,0,1130,1430
oshin japanese restaurant brisbane,Brisbane,AU,0,1800,2130
oshin japanese restaurant brisbane,Brisbane,AU,1,1130,1430
oshin japanese restaurant brisbane,Brisbane,AU,1,1800,2130
oshin japanese restaurant brisbane,Brisbane,AU,2,1130,1430
oshin japanese restaurant brisbane,Brisbane,AU,2,1800,2130
oshin japanese restaurant brisbane,Brisbane,AU,3,1130,1430
oshin japanese restaurant brisbane,Brisbane,AU,3,1800,2130
oshin japanese restaurant brisbane,Brisbane,AU,4,1130,1430
oshin japanese restaurant brisbane,Brisbane,AU,4,1800,2130
oshin japanese restaurant brisbane,Brisbane,AU,5,1800,2130
