Name,City,Country Code,Days,Start,End
palace chinese restaurant sydney,Sydney,AU,0,1100,1500
palace chinese restaurant sydney,Sydney,AU,0,1700,2230
palace chinese restaurant sydney,Sydney,AU,1,1100,1500
palace chinese restaurant sydney,Sydney,AU,1,1700,2230
palace chinese restaurant sydney,Sydney,AU,2,1100,1500
palace chinese restaurant sydney,Sydney,AU,2,1700,2230
palace chinese restaurant sydney,Sydney,AU,3,1100,1500
palace chinese restaurant sydney,Sydney,AU,3,1700,2230
palace chinese restaurant sydney,Sydney,AU,4,1100,1500
palace chinese restaurant sydney,Sydney,AU,4,1700,2230
palace chinese restaurant sydney,Sydney,AU,5,1030,2300
palace chinese restaurant sydney,Sydney,AU,6,1030,1500
palace chinese restaurant sydney,Sydney,AU,6,1700,2230
