Name,City,Country Code,Days,Start,End
pei modern melbourne,Melbourne,AU,0,0730,1130
pei modern melbourne,Melbourne,AU,0,1200,1430
pei modern melbourne,Melbourne,AU,0,1730,2300
pei modern melbourne,Melbourne,AU,1,0730,1130
pei modern melbourne,Melbourne,AU,1,1200,1430
pei modern melbourne,Melbourne,AU,1,1730,2300
pei modern melbourne,Melbourne,AU,2,0730,1130
pei modern melbourne,Melbourne,AU,2,1200,1430
pei modern melbourne,Melbourne,AU,2,1730,2300
pei modern melbourne,Melbourne,AU,3,0730,1130
pei modern melbourne,Melbourne,AU,3,1200,1430
pei modern melbourne,Melbourne,AU,3,1730,2300
pei modern melbourne,Melbourne,AU,4,0730,1130
pei modern melbourne,Melbourne,AU,4,1200,1430
pei modern melbourne,Melbourne,AU,4,1730,2300
pei modern melbourne,Melbourne,AU,5,0930,2300
