Name,City,Country Code,Days,Start,End
pizzeria melbourne,Melbourne,AU,0,1200,1500
pizzeria melbourne,Melbourne,AU,0,1700,2130
pizzeria melbourne,Melbourne,AU,1,1200,1500
pizzeria melbourne,Melbourne,AU,1,1700,2130
pizzeria melbourne,Melbourne,AU,2,1200,1500
pizzeria melbourne,Melbourne,AU,2,1700,2130
pizzeria melbourne,Melbourne,AU,3,1200,1500
pizzeria melbourne,Melbourne,AU,3,1700,2130
pizzeria melbourne,Melbourne,AU,4,1200,2200
pizzeria melbourne,Melbourne,AU,5,1200,2200
pizzeria melbourne,Melbourne,AU,6,1200,2130
