Name,City,Country Code,Days,Start,End
pomegranate kingston,Kingston,AU,1,1200,1430
pomegranate kingston,Kingston,AU,1,1800,2100
pomegranate kingston,Kingston,AU,2,1200,1430
pomegranate kingston,Kingston,AU,2,1800,2100
pomegranate kingston,Kingston,AU,3,1200,1430
pomegranate kingston,Kingston,AU,3,1800,2100
pomegranate kingston,Kingston,AU,4,1200,1430
pomegranate kingston,Kingston,AU,4,1800,2100
pomegranate kingston,Kingston,AU,5,1200,1430
pomegranate kingston,Kingston,AU,5,1800,2100
pomegranate kingston,Kingston,AU,6,1200,1430
pomegranate kingston,Kingston,AU,6,1800,2100
