Name,City,Country Code,Days,Start,End
pub life kitchen ultimo,Ultimo,AU,0,1700,2100
pub life kitchen ultimo,Ultimo,AU,1,1200,1500
pub life kitchen ultimo,Ultimo,AU,1,1800,2200
pub life kitchen ultimo,Ultimo,AU,2,1200,1500
pub life kitchen ultimo,Ultimo,AU,2,1800,2200
pub life kitchen ultimo,Ultimo,AU,3,1200,1500
pub life kitchen ultimo,Ultimo,AU,3,1800,2200
pub life kitchen ultimo,Ultimo,AU,4,1200,1500
pub life kitchen ultimo,Ultimo,AU,4,1800,2200
pub life kitchen ultimo,Ultimo,AU,5,1200,1500
pub life kitchen ultimo,Ultimo,AU,5,1800,2200
pub life kitchen ultimo,Ultimo,AU,6,1200,1700
