Name,City,Country Code,Days,Start,End
rosas canteen melbourne,Melbourne,AU,0,1200,1500
rosas canteen melbourne,Melbourne,AU,0,1730,2100
rosas canteen melbourne,Melbourne,AU,1,1200,1500
rosas canteen melbourne,Melbourne,AU,1,1730,2100
rosas canteen melbourne,Melbourne,AU,2,1200,1500
rosas canteen melbourne,Melbourne,AU,2,1730,2100
rosas canteen melbourne,Melbourne,AU,3,1200,1500
rosas canteen melbourne,Melbourne,AU,3,1730,2100
rosas canteen melbourne,Melbourne,AU,4,1200,1500
rosas canteen melbourne,Melbourne,AU,4,1730,2100
