Name,City,Country Code,Days,Start,End
seasalt dining bruce,Bruce,AU,1,1100,1500
seasalt dining bruce,Bruce,AU,1,1730,2100
seasalt dining bruce,Bruce,AU,2,1100,1500
seasalt dining bruce,Bruce,AU,2,1730,2100
seasalt dining bruce,Bruce,AU,3,1100,1500
seasalt dining bruce,Bruce,AU,3,1730,2100
seasalt dining bruce,Bruce,AU,4,1100,1500
seasalt dining bruce,Bruce,AU,4,1730,2130
seasalt dining bruce,Bruce,AU,5,1100,1500
seasalt dining bruce,Bruce,AU,5,1730,2230
seasalt dining bruce,Bruce,AU,6,0900,1500
seasalt dining bruce,Bruce,AU,6,1730,2100
