Name,City,Country Code,Days,Start,End
shimbashi japanese soba and sake bar melbourne,Melbourne,AU,0,1130,1430
shimbashi japanese soba and sake bar melbourne,Melbourne,AU,0,1800,2200
shimbashi japanese soba and sake bar melbourne,Melbourne,AU,1,1130,1430
shimbashi japanese soba and sake bar melbourne,Melbourne,AU,1,1800,2200
shimbashi japanese soba and sake bar melbourne,Melbourne,AU,2,1130,1430
shimbashi japanese soba and sake bar melbourne,Melbourne,AU,2,1800,2200
shimbashi japanese soba and sake bar melbourne,Melbourne,AU,3,1130,1430
shimbashi japanese soba and sake bar melbourne,Melbourne,AU,3,1800,2200
shimbashi japanese soba and sake bar melbourne,Melbourne,AU,4,1130,1430
shimbashi japanese soba and sake bar melbourne,Melbourne,AU,4,1730,2200
shimbashi japanese soba and sake bar melbourne,Melbourne,AU,5,1130,1430
shimbashi japanese soba and sake bar melbourne,Melbourne,AU,5,1730,2200
shimbashi japanese soba and sake bar melbourne,Melbourne,AU,6,1730,2200
