Name,City,Country Code,Days,Start,End
sphere perth,Perth,AU,0,0630,0930
sphere perth,Perth,AU,0,1700,2100
sphere perth,Perth,AU,1,0630,0930
sphere perth,Perth,AU,1,1700,2100
sphere perth,Perth,AU,2,0630,0930
sphere perth,Perth,AU,2,1700,2100
sphere perth,Perth,AU,3,0630,0930
sphere perth,Perth,AU,3,1700,2100
sphere perth,Perth,AU,4,0630,0930
sphere perth,Perth,AU,4,1700,2100
sphere perth,Perth,AU,5,0630,0930
sphere perth,Perth,AU,5,1700,2100
sphere perth,Perth,AU,6,0630,0930
sphere perth,Perth,AU,6,1700,2100
