Name,City,Country Code,Days,Start,End
steel bar and grill sydney,Sydney,AU,0,1200,1500
steel bar and grill sydney,Sydney,AU,0,1800,2300
steel bar and grill sydney,Sydney,AU,1,1200,1500
steel bar and grill sydney,Sydney,AU,1,1800,2300
steel bar and grill sydney,Sydney,AU,2,1200,1500
steel bar and grill sydney,Sydney,AU,2,1800,2300
steel bar and grill sydney,Sydney,AU,3,1200,1500
steel bar and grill sydney,Sydney,AU,3,1800,2300
steel bar and grill sydney,Sydney,AU,4,1200,1500
steel bar and grill sydney,Sydney,AU,4,1800,2300
steel bar and grill sydney,Sydney,AU,5,1800,2300
