Name,City,Country Code,Days,Start,End
sushi masa melbourne,Melbourne,AU,0,1200,1500
sushi masa melbourne,Melbourne,AU,0,1800,2200
sushi masa melbourne,Melbourne,AU,1,1200,1500
sushi masa melbourne,Melbourne,AU,1,1800,2200
sushi masa melbourne,Melbourne,AU,2,1200,1500
sushi masa melbourne,Melbourne,AU,2,1800,2200
sushi masa melbourne,Melbourne,AU,3,1200,1500
sushi masa melbourne,Melbourne,AU,3,1800,2200
sushi masa melbourne,Melbourne,AU,4,1200,1500
sushi masa melbourne,Melbourne,AU,4,1800,2200
sushi masa melbourne,Melbourne,AU,5,1800,2200
