Name,City,Country Code,Days,Start,End
swiss club restaurant melbourne,Melbourne,AU,0,1200,1500
swiss club restaurant melbourne,Melbourne,AU,1,1200,1500
swiss club restaurant melbourne,Melbourne,AU,1,1800,2300
swiss club restaurant melbourne,Melbourne,AU,2,1200,1500
swiss club restaurant melbourne,Melbourne,AU,2,1800,0000
swiss club restaurant melbourne,Melbourne,AU,3,1200,1500
swiss club restaurant melbourne,Melbourne,AU,3,1800,0000
swiss club restaurant melbourne,Melbourne,AU,4,1200,1500
swiss club restaurant melbourne,Melbourne,AU,4,1800,0000
swiss club restaurant melbourne,Melbourne,AU,5,1800,0000
