Name,City,Country Code,Days,Start,End
tasting china canberra,Canberra,AU,0,1130,1430
tasting china canberra,Canberra,AU,0,1730,2200
tasting china canberra,Canberra,AU,1,1130,1430
tasting china canberra,Canberra,AU,1,1730,2200
tasting china canberra,Canberra,AU,2,1130,1430
tasting china canberra,Canberra,AU,2,1730,2200
tasting china canberra,Canberra,AU,3,1130,1430
tasting china canberra,Canberra,AU,3,1730,2200
tasting china canberra,Canberra,AU,4,1130,1430
tasting china canberra,Canberra,AU,4,1730,2200
tasting china canberra,Canberra,AU,5,1130,1430
tasting china canberra,Canberra,AU,5,1730,2200
tasting china canberra,Canberra,AU,6,1130,1430
tasting china canberra,Canberra,AU,6,1730,2200
