Name,City,Country Code,Days,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
abercrombie lane sydney,Sydney,AU,0,07,30,15,30
abercrombie lane sydney,Sydney,AU,1,07,30,15,30
abercrombie lane sydney,Sydney,AU,2,07,30,15,30
abercrombie lane sydney,Sydney,AU,3,07,30,15,30
abercrombie lane sydney,Sydney,AU,4,07,30,15,30
custom pizzeria braddon,Braddon,AU,0,11,30,15,00
custom pizzeria braddon,Braddon,AU,0,17,30,00,00
custom pizzeria braddon,Braddon,AU,1,11,30,15,00
custom pizzeria braddon,Braddon,AU,1,17,30,00,00
custom pizzeria braddon,Braddon,AU,2,11,30,15,00
custom pizzeria braddon,Braddon,AU,2,17,30,00,00
custom pizzeria braddon,Braddon,AU,3,11,30,15,00
custom pizzeria braddon,Braddon,AU,3,17,30,00,00
custom pizzeria braddon,Braddon,AU,4,11,30,15,00
custom pizzeria braddon,Braddon,AU,4,17,30,00,00
custom pizzeria braddon,Braddon,AU,5,11,30,15,00
custom pizzeria braddon,Braddon,AU,5,17,30,00,00
custom pizzeria braddon,Braddon,AU,6,11,30,15,00
custom pizzeria braddon,Braddon,AU,6,17,30,00,00
inch pizza melbourne,Melbourne,AU,0,11,00,21,30
inch pizza melbourne,Melbourne,AU,1,11,00,21,30
inch pizza melbourne,Melbourne,AU,2,11,00,21,30
inch pizza melbourne,Melbourne,AU,3,11,00,21,30
inch pizza melbourne,Melbourne,AU,4,11,00,21,30
inch pizza melbourne,Melbourne,AU,5,16,30,21,30
inch pizza melbourne,Melbourne,AU,6,16,30,21,30
bar and bistro brisbane,Brisbane,AU,0,06,30,21,00
bar and bistro brisbane,Brisbane,AU,1,06,30,21,00
bar and bistro brisbane,Brisbane,AU,2,06,30,21,00
bar and bistro brisbane,Brisbane,AU,3,06,30,21,00
bar and bistro brisbane,Brisbane,AU,4,06,30,21,00
bar and bistro brisbane,Brisbane,AU,5,07,00,11,00
bar and bistro brisbane,Brisbane,AU,5,15,00,21,00
bar and bistro brisbane,Brisbane,AU,6,07,00,11,00
melbourne,Melbourne,AU,0,17,00,01,00
melbourne,Melbourne,AU,1,17,00,01,00
melbourne,Melbourne,AU,2,17,00,01,00
melbourne,Melbourne,AU,3,17,00,01,00
melbourne,Melbourne,AU,4,16,00,01,00
melbourne,Melbourne,AU,5,17,00,03,00
melbourne,Melbourne,AU,6,18,00,01,00
restaurant perth,Perth,AU,1,11,00,15,00
restaurant perth,Perth,AU,1,18,00,00,00
restaurant perth,Perth,AU,2,11,00,15,00
restaurant perth,Perth,AU,2,18,00,00,00
restaurant perth,Perth,AU,3,11,00,15,00
restaurant perth,Perth,AU,3,18,00,00,00
restaurant perth,Perth,AU,4,11,00,15,00
restaurant perth,Perth,AU,4,18,00,00,00
restaurant perth,Perth,AU,5,11,00,15,00
restaurant perth,Perth,AU,5,18,00,00,00
dining bar sydney,Sydney,AU,0,16,00,00,00
dining bar sydney,Sydney,AU,1,16,00,00,00
dining bar sydney,Sydney,AU,2,16,00,00,00
dining bar sydney,Sydney,AU,3,16,00,00,00
dining bar sydney,Sydney,AU,4,16,00,00,00
dining bar sydney,Sydney,AU,5,16,00,00,00
cafe perth,Perth,AU,0,10,00,15,00
cafe perth,Perth,AU,2,10,00,15,00
cafe perth,Perth,AU,3,10,00,15,00
cafe perth,Perth,AU,4,10,00,15,00
cafe perth,Perth,AU,5,09,00,15,00
cafe perth,Perth,AU,6,09,00,15,00
wise monkeys pub sydney,Sydney,AU,0,10,00,04,00
wise monkeys pub sydney,Sydney,AU,1,10,00,04,00
wise monkeys pub sydney,Sydney,AU,2,10,00,04,00
