Name,City,Country Code,Days,Start,End
andrew edmunds london,London,GB,0,1230,1530
andrew edmunds london,London,GB,0,1800,2230
andrew edmunds london,London,GB,1,1230,1530
andrew edmunds london,London,GB,1,1800,2230
andrew edmunds london,London,GB,2,1230,1530
andrew edmunds london,London,GB,2,1800,2230
andrew edmunds london,London,GB,3,1230,1530
andrew edmunds london,London,GB,3,1800,2230
andrew edmunds london,London,GB,4,1230,1530
andrew edmunds london,London,GB,4,1800,2230
andrew edmunds london,London,GB,5,1230,1530
andrew edmunds london,London,GB,5,1800,2230
andrew edmunds london,London,GB,6,1230,1530
andrew edmunds london,London,GB,6,1800,2230
