Name,City,Country Code,Days,Start,End
blue door bistro london,London,GB,0,0700,1000
blue door bistro london,London,GB,0,1230,1430
blue door bistro london,London,GB,0,1730,2230
blue door bistro london,London,GB,1,0700,1000
blue door bistro london,London,GB,1,1230,1430
blue door bistro london,London,GB,1,1730,2230
blue door bistro london,London,GB,2,0700,1000
blue door bistro london,London,GB,2,1230,1430
blue door bistro london,London,GB,2,1730,2230
blue door bistro london,London,GB,3,0700,1000
blue door bistro london,London,GB,3,1230,1430
blue door bistro london,London,GB,3,1730,2230
blue door bistro london,London,GB,4,0700,1000
blue door bistro london,London,GB,4,1230,1430
blue door bistro london,London,GB,4,1730,2230
blue door bistro london,London,GB,5,0700,1100
blue door bistro london,London,GB,5,1230,1430
blue door bistro london,London,GB,5,1730,2230
blue door bistro london,London,GB,6,0700,1200
blue door bistro london,London,GB,6,1300,1430
blue door bistro london,London,GB,6,1730,2130
