Name,City,Country Code,Days,Start,End
cafe mama pho london,London,GB,0,1130,1500
cafe mama pho london,London,GB,0,1700,2230
cafe mama pho london,London,GB,2,1130,1500
cafe mama pho london,London,GB,2,1700,2230
cafe mama pho london,London,GB,3,1130,1500
cafe mama pho london,London,GB,3,1700,2230
cafe mama pho london,London,GB,4,1130,1500
cafe mama pho london,London,GB,4,1700,2230
cafe mama pho london,London,GB,5,1130,1500
cafe mama pho london,London,GB,5,1700,2230
cafe mama pho london,London,GB,6,1200,2200
