Name,City,Country Code,Days,Start,End
chilli banana liverpool,Liverpool,GB,1,1800,2300
chilli banana liverpool,Liverpool,GB,2,1230,1430
chilli banana liverpool,Liverpool,GB,2,1800,2300
chilli banana liverpool,Liverpool,GB,3,1230,1430
chilli banana liverpool,Liverpool,GB,3,1800,2300
chilli banana liverpool,Liverpool,GB,4,1230,1430
chilli banana liverpool,Liverpool,GB,4,1800,2300
chilli banana liverpool,Liverpool,GB,5,1230,1500
chilli banana liverpool,Liverpool,GB,5,1700,2300
chilli banana liverpool,Liverpool,GB,6,1230,2200
