Name,City,Country Code,Days,Start,End
dakhin indian restaurant glasgow,Glasgow,GB,0,1200,1400
dakhin indian restaurant glasgow,Glasgow,GB,0,1700,2300
dakhin indian restaurant glasgow,Glasgow,GB,1,1200,1400
dakhin indian restaurant glasgow,Glasgow,GB,1,1700,2300
dakhin indian restaurant glasgow,Glasgow,GB,2,1200,1400
dakhin indian restaurant glasgow,Glasgow,GB,2,1700,2300
dakhin indian restaurant glasgow,Glasgow,GB,3,1200,1400
dakhin indian restaurant glasgow,Glasgow,GB,3,1700,2300
dakhin indian restaurant glasgow,Glasgow,GB,4,1200,1400
dakhin indian restaurant glasgow,Glasgow,GB,4,1700,2300
dakhin indian restaurant glasgow,Glasgow,GB,5,1300,2300
dakhin indian restaurant glasgow,Glasgow,GB,6,1300,2300
