Name,City,Country Code,Days,Start,End
hakkasan london,London,GB,0,1200,1500
hakkasan london,London,GB,0,1730,0000
hakkasan london,London,GB,1,1200,1500
hakkasan london,London,GB,1,1730,0000
hakkasan london,London,GB,2,1200,1500
hakkasan london,London,GB,2,1730,0000
hakkasan london,London,GB,3,1200,1500
hakkasan london,London,GB,3,1730,0000
hakkasan london,London,GB,4,1200,1500
hakkasan london,London,GB,4,1730,0030
hakkasan london,London,GB,5,1200,1600
hakkasan london,London,GB,5,1730,0030
hakkasan london,London,GB,6,1200,0000
