Name,City,Country Code,Days,Start,End
heddon street kitchen london,London,GB,0,0730,1100
heddon street kitchen london,London,GB,0,1330,2300
heddon street kitchen london,London,GB,1,0730,1100
heddon street kitchen london,London,GB,1,1330,2300
heddon street kitchen london,London,GB,2,0730,1100
heddon street kitchen london,London,GB,2,1330,2300
heddon street kitchen london,London,GB,3,0730,1100
heddon street kitchen london,London,GB,3,1330,2300
heddon street kitchen london,London,GB,4,0730,1100
heddon street kitchen london,London,GB,4,1330,2300
heddon street kitchen london,London,GB,5,1000,2300
heddon street kitchen london,London,GB,6,1000,2100
