Name,City,Country Code,Days,Start,End
la lanterna glasgow,Glasgow,GB,0,1200,1430
la lanterna glasgow,Glasgow,GB,0,1730,2230
la lanterna glasgow,Glasgow,GB,1,1200,1430
la lanterna glasgow,Glasgow,GB,1,1730,2230
la lanterna glasgow,Glasgow,GB,2,1200,1430
la lanterna glasgow,Glasgow,GB,2,1730,2230
la lanterna glasgow,Glasgow,GB,3,1200,1430
la lanterna glasgow,Glasgow,GB,3,1730,2230
la lanterna glasgow,Glasgow,GB,4,1200,1430
la lanterna glasgow,Glasgow,GB,4,1730,2230
la lanterna glasgow,Glasgow,GB,5,1200,2300
