Name,City,Country Code,Days,Start,End
luna nuova london,London,GB,0,1100,1500
luna nuova london,London,GB,0,1800,2300
luna nuova london,London,GB,1,1100,1500
luna nuova london,London,GB,1,1800,2300
luna nuova london,London,GB,2,1100,1500
luna nuova london,London,GB,2,1800,2300
luna nuova london,London,GB,3,1100,1500
luna nuova london,London,GB,3,1800,2300
luna nuova london,London,GB,4,1100,1500
luna nuova london,London,GB,4,1800,2300
luna nuova london,London,GB,5,1130,2300
luna nuova london,London,GB,6,1130,2230
