Name,City,Country Code,Days,Start,End
muhib indian cuisine london,London,GB,0,1200,1430
muhib indian cuisine london,London,GB,0,1730,0000
muhib indian cuisine london,London,GB,1,1200,1430
muhib indian cuisine london,London,GB,1,1730,0000
muhib indian cuisine london,London,GB,2,1200,1430
muhib indian cuisine london,London,GB,2,1730,0000
muhib indian cuisine london,London,GB,3,1200,1430
muhib indian cuisine london,London,GB,3,1730,0100
muhib indian cuisine london,London,GB,4,1200,0200
muhib indian cuisine london,London,GB,5,1200,0200
muhib indian cuisine london,London,GB,6,1200,2300
