Name,City,Country Code,Days,Start,End
oliveto london,London,GB,0,1200,1500
oliveto london,London,GB,0,1900,2300
oliveto london,London,GB,1,1200,1500
oliveto london,London,GB,1,1900,2300
oliveto london,London,GB,2,1200,1500
oliveto london,London,GB,2,1900,2300
oliveto london,London,GB,3,1200,1500
oliveto london,London,GB,3,1900,2300
oliveto london,London,GB,4,1200,1500
oliveto london,London,GB,4,1900,2300
oliveto london,London,GB,5,1200,1530
oliveto london,London,GB,5,1900,2300
oliveto london,London,GB,6,1200,1530
oliveto london,London,GB,6,1900,2230
