Name,City,Country Code,Days,Start,End
roastit bubbly jocks glasgow,Glasgow,GB,0,1700,2130
roastit bubbly jocks glasgow,Glasgow,GB,1,1700,2100
roastit bubbly jocks glasgow,Glasgow,GB,2,1700,2100
roastit bubbly jocks glasgow,Glasgow,GB,3,1700,2100
roastit bubbly jocks glasgow,Glasgow,GB,4,1200,1430
roastit bubbly jocks glasgow,Glasgow,GB,4,1700,2100
roastit bubbly jocks glasgow,Glasgow,GB,5,1200,1430
roastit bubbly jocks glasgow,Glasgow,GB,5,1700,2100
roastit bubbly jocks glasgow,Glasgow,GB,6,1200,1430
roastit bubbly jocks glasgow,Glasgow,GB,6,1700,2100
