Name,City,Country Code,Days,Start,End
shish mahal glasgow,Glasgow,GB,0,1200,1400
shish mahal glasgow,Glasgow,GB,0,1630,2330
shish mahal glasgow,Glasgow,GB,1,1200,1400
shish mahal glasgow,Glasgow,GB,1,1630,2330
shish mahal glasgow,Glasgow,GB,2,1200,1400
shish mahal glasgow,Glasgow,GB,2,1630,2330
shish mahal glasgow,Glasgow,GB,3,1200,1400
shish mahal glasgow,Glasgow,GB,3,1630,2330
shish mahal glasgow,Glasgow,GB,4,1200,1400
shish mahal glasgow,Glasgow,GB,4,1630,2330
shish mahal glasgow,Glasgow,GB,5,1630,2330
shish mahal glasgow,Glasgow,GB,6,1630,2330
