Name,City,Country Code,Days,Start,End
spice lounge liverpool,Liverpool,GB,0,1200,1500
spice lounge liverpool,Liverpool,GB,0,1600,2300
spice lounge liverpool,Liverpool,GB,1,1200,1500
spice lounge liverpool,Liverpool,GB,1,1600,2300
spice lounge liverpool,Liverpool,GB,2,1200,1500
spice lounge liverpool,Liverpool,GB,2,1600,2300
spice lounge liverpool,Liverpool,GB,3,1200,1500
spice lounge liverpool,Liverpool,GB,3,1600,2300
spice lounge liverpool,Liverpool,GB,4,1200,1500
spice lounge liverpool,Liverpool,GB,4,1600,0000
spice lounge liverpool,Liverpool,GB,5,1200,1500
spice lounge liverpool,Liverpool,GB,5,1600,0000
spice lounge liverpool,Liverpool,GB,6,1200,1500
spice lounge liverpool,Liverpool,GB,6,1600,2300
