Name,City,Country Code,Days,Start,End
sushi surprise london,London,GB,0,1130,1500
sushi surprise london,London,GB,0,1700,2100
sushi surprise london,London,GB,1,1130,1500
sushi surprise london,London,GB,1,1700,2100
sushi surprise london,London,GB,2,1130,1500
sushi surprise london,London,GB,2,1700,2100
sushi surprise london,London,GB,3,1130,1500
sushi surprise london,London,GB,3,1700,2100
sushi surprise london,London,GB,4,1130,1500
sushi surprise london,London,GB,4,1700,2100
sushi surprise london,London,GB,5,1300,2100
