Name,City,Country Code,Days,Start,End
restaurant morita auckland,Auckland,NZ,0,1200,1400
restaurant morita auckland,Auckland,NZ,0,1800,2100
restaurant morita auckland,Auckland,NZ,1,1200,1400
restaurant morita auckland,Auckland,NZ,1,1800,2100
restaurant morita auckland,Auckland,NZ,2,1200,1400
restaurant morita auckland,Auckland,NZ,2,1800,2100
restaurant morita auckland,Auckland,NZ,3,1200,1400
restaurant morita auckland,Auckland,NZ,3,1800,2100
restaurant morita auckland,Auckland,NZ,4,1200,1400
restaurant morita auckland,Auckland,NZ,4,1800,2100
restaurant morita auckland,Auckland,NZ,5,1800,2100
