Name,City,Country Code,Days,Start,End
abercrombie lane sydney,Sydney,AU,0,0730,1530
abercrombie lane sydney,Sydney,AU,1,0730,1530
abercrombie lane sydney,Sydney,AU,2,0730,1530
abercrombie lane sydney,Sydney,AU,3,0730,1530
abercrombie lane sydney,Sydney,AU,4,0730,1530
custom pizzeria braddon,Braddon,AU,0,1130,1500
custom pizzeria braddon,Braddon,AU,0,1730,0000
custom pizzeria braddon,Braddon,AU,1,1130,1500
custom pizzeria braddon,Braddon,AU,1,1730,0000
custom pizzeria braddon,Braddon,AU,2,1130,1500
custom pizzeria braddon,Braddon,AU,2,1730,0000
custom pizzeria braddon,Braddon,AU,3,1130,1500
custom pizzeria braddon,Braddon,AU,3,1730,0000
custom pizzeria braddon,Braddon,AU,4,1130,1500
custom pizzeria braddon,Braddon,AU,4,1730,0000
custom pizzeria braddon,Braddon,AU,5,1130,1500
custom pizzeria braddon,Braddon,AU,5,1730,0000
custom pizzeria braddon,Braddon,AU,6,1130,1500
custom pizzeria braddon,Braddon,AU,6,1730,0000
inch pizza melbourne,Melbourne,AU,0,1100,2130
inch pizza melbourne,Melbourne,AU,1,1100,2130
inch pizza melbourne,Melbourne,AU,2,1100,2130
inch pizza melbourne,Melbourne,AU,3,1100,2130
inch pizza melbourne,Melbourne,AU,4,1100,2130
inch pizza melbourne,Melbourne,AU,5,1630,2130
inch pizza melbourne,Melbourne,AU,6,1630,2130
bar and bistro brisbane,Brisbane,AU,0,0630,2100
bar and bistro brisbane,Brisbane,AU,1,0630,2100
bar and bistro brisbane,Brisbane,AU,2,0630,2100
bar and bistro brisbane,Brisbane,AU,3,0630,2100
bar and bistro brisbane,Brisbane,AU,4,0630,2100
bar and bistro brisbane,Brisbane,AU,5,0700,1100
bar and bistro brisbane,Brisbane,AU,5,1500,2100
bar and bistro brisbane,Brisbane,AU,6,0700,1100
melbourne,Melbourne,AU,0,1700,0100
melbourne,Melbourne,AU,1,1700,0100
melbourne,Melbourne,AU,2,1700,0100
melbourne,Melbourne,AU,3,1700,0100
melbourne,Melbourne,AU,4,1600,0100
melbourne,Melbourne,AU,5,1700,0300
melbourne,Melbourne,AU,6,1800,0100
restaurant perth,Perth,AU,1,1100,1500
restaurant perth,Perth,AU,1,1800,0000
restaurant perth,Perth,AU,2,1100,1500
restaurant perth,Perth,AU,2,1800,0000
restaurant perth,Perth,AU,3,1100,1500
restaurant perth,Perth,AU,3,1800,0000
restaurant perth,Perth,AU,4,1100,1500
restaurant perth,Perth,AU,4,1800,0000
restaurant perth,Perth,AU,5,1100,1500
restaurant perth,Perth,AU,5,1800,0000
dining bar sydney,Sydney,AU,0,1600,0000
dining bar sydney,Sydney,AU,1,1600,0000
dining bar sydney,Sydney,AU,2,1600,0000
dining bar sydney,Sydney,AU,3,1600,0000
dining bar sydney,Sydney,AU,4,1600,0000
dining bar sydney,Sydney,AU,5,1600,0000
cafe perth,Perth,AU,0,1000,1500
cafe perth,Perth,AU,2,1000,1500
cafe perth,Perth,AU,3,1000,1500
cafe perth,Perth,AU,4,1000,1500
cafe perth,Perth,AU,5,0900,1500
cafe perth,Perth,AU,6,0900,1500
wise monkeys pub sydney,Sydney,AU,0,1000,0400
wise monkeys pub sydney,Sydney,AU,1,1000,0400
wise monkeys pub sydney,Sydney,AU,2,1000,0400
wise monkeys pub sydney,Sydney,AU,3,1000,0400
wise monkeys pub sydney,Sydney,AU,4,1000,0500
wise monkeys pub sydney,Sydney,AU,5,1000,0500
wise monkeys pub sydney,Sydney,AU,6,1000,0400
bar and restaurant sydney,Sydney,AU,0,1200,1430
