Name,City,Country Code,Days,Start,End
all purpose pizzeria washington,Washington,US,0,1130,1430
all purpose pizzeria washington,Washington,US,0,1730,2200
all purpose pizzeria washington,Washington,US,1,1130,1430
all purpose pizzeria washington,Washington,US,1,1730,2200
all purpose pizzeria washington,Washington,US,2,1130,1430
all purpose pizzeria washington,Washington,US,2,1730,2200
all purpose pizzeria washington,Washington,US,3,1130,1430
all purpose pizzeria washington,Washington,US,3,1730,2200
all purpose pizzeria washington,Washington,US,4,1130,1430
all purpose pizzeria washington,Washington,US,4,1730,2300
all purpose pizzeria washington,Washington,US,5,1130,1430
all purpose pizzeria washington,Washington,US,5,1700,2300
all purpose pizzeria washington,Washington,US,6,1700,2200
