Name,City,Country Code,Days,Start,End
ambar washington,Washington,US,0,1100,1400
ambar washington,Washington,US,0,1600,2200
ambar washington,Washington,US,1,1100,1400
ambar washington,Washington,US,1,1600,2200
ambar washington,Washington,US,2,1100,1400
ambar washington,Washington,US,2,1600,2200
ambar washington,Washington,US,3,1100,1400
ambar washington,Washington,US,3,1600,2200
ambar washington,Washington,US,4,1100,1400
ambar washington,Washington,US,4,1600,2300
ambar washington,Washington,US,5,1000,2300
ambar washington,Washington,US,6,1000,2200
