Name,City,Country Code,Days,Start,End
aria trattoria boston,Boston,US,0,0000,1200
aria trattoria boston,Boston,US,0,1700,0000
aria trattoria boston,Boston,US,1,0000,1200
aria trattoria boston,Boston,US,1,1700,0000
aria trattoria boston,Boston,US,2,0000,1200
aria trattoria boston,Boston,US,2,1700,0000
aria trattoria boston,Boston,US,3,0000,1200
aria trattoria boston,Boston,US,3,1700,0000
aria trattoria boston,Boston,US,4,0000,1200
aria trattoria boston,Boston,US,4,1700,0000
aria trattoria boston,Boston,US,5,0000,1230
aria trattoria boston,Boston,US,5,1700,0000
aria trattoria boston,Boston,US,6,0000,1230
aria trattoria boston,Boston,US,6,1700,0000
