Name,City,Country Code,Days,Start,End
aroi fine thai and japanese cuisine washington,Washington,US,0,1130,1500
aroi fine thai and japanese cuisine washington,Washington,US,0,1600,2200
aroi fine thai and japanese cuisine washington,Washington,US,1,1130,1500
aroi fine thai and japanese cuisine washington,Washington,US,1,1600,2200
aroi fine thai and japanese cuisine washington,Washington,US,2,1130,1500
aroi fine thai and japanese cuisine washington,Washington,US,2,1600,2200
aroi fine thai and japanese cuisine washington,Washington,US,3,1130,1500
aroi fine thai and japanese cuisine washington,Washington,US,3,1600,2200
aroi fine thai and japanese cuisine washington,Washington,US,4,1130,1500
aroi fine thai and japanese cuisine washington,Washington,US,4,1600,2230
aroi fine thai and japanese cuisine washington,Washington,US,5,1200,2230
aroi fine thai and japanese cuisine washington,Washington,US,6,1200,2200
