Name,City,Country Code,Days,Start,End
atrium dumbo brooklyn,Brooklyn,US,0,1130,1430
atrium dumbo brooklyn,Brooklyn,US,0,1730,2200
atrium dumbo brooklyn,Brooklyn,US,1,1130,1430
atrium dumbo brooklyn,Brooklyn,US,1,1730,2200
atrium dumbo brooklyn,Brooklyn,US,2,1130,1430
atrium dumbo brooklyn,Brooklyn,US,2,1730,2200
atrium dumbo brooklyn,Brooklyn,US,3,1130,1430
atrium dumbo brooklyn,Brooklyn,US,3,1730,2200
atrium dumbo brooklyn,Brooklyn,US,4,1130,1430
atrium dumbo brooklyn,Brooklyn,US,4,1730,2300
atrium dumbo brooklyn,Brooklyn,US,5,1100,1500
atrium dumbo brooklyn,Brooklyn,US,5,1730,2300
atrium dumbo brooklyn,Brooklyn,US,6,1100,1500
atrium dumbo brooklyn,Brooklyn,US,6,1730,2200
