Name,City,Country Code,Days,Start,End
basil thai cuisine charlotte,Charlotte,US,0,1100,1430
basil thai cuisine charlotte,Charlotte,US,0,1700,2200
basil thai cuisine charlotte,Charlotte,US,1,1100,1430
basil thai cuisine charlotte,Charlotte,US,1,1700,2200
basil thai cuisine charlotte,Charlotte,US,2,1100,1430
basil thai cuisine charlotte,Charlotte,US,2,1700,2200
basil thai cuisine charlotte,Charlotte,US,3,1100,1430
basil thai cuisine charlotte,Charlotte,US,3,1700,2200
basil thai cuisine charlotte,Charlotte,US,4,1100,1430
basil thai cuisine charlotte,Charlotte,US,4,1700,2300
basil thai cuisine charlotte,Charlotte,US,5,1700,2300
basil thai cuisine charlotte,Charlotte,US,6,1700,2200
