Name,City,Country Code,Days,Start,End
beau thai mount pleasant washington,Washington,US,0,1100,1500
beau thai mount pleasant washington,Washington,US,0,1700,2230
beau thai mount pleasant washington,Washington,US,1,1100,1500
beau thai mount pleasant washington,Washington,US,1,1700,2230
beau thai mount pleasant washington,Washington,US,2,1100,1500
beau thai mount pleasant washington,Washington,US,2,1700,2230
beau thai mount pleasant washington,Washington,US,3,1100,1500
beau thai mount pleasant washington,Washington,US,3,1700,2230
beau thai mount pleasant washington,Washington,US,4,1100,2300
beau thai mount pleasant washington,Washington,US,5,1100,2300
beau thai mount pleasant washington,Washington,US,6,1100,2230
