Name,City,Country Code,Days,Start,End
biang new york,New York,US,0,1200,1500
biang new york,New York,US,0,1800,2230
biang new york,New York,US,1,1200,1500
biang new york,New York,US,1,1800,2230
biang new york,New York,US,2,1200,1500
biang new york,New York,US,2,1800,2230
biang new york,New York,US,3,1200,1500
biang new york,New York,US,3,1800,2230
biang new york,New York,US,4,1200,1500
biang new york,New York,US,4,1800,2300
biang new york,New York,US,5,1200,2300
biang new york,New York,US,6,1200,2230
