Name,City,Country Code,Days,Start,End
birba san francisco,San Francisco,US,1,1200,1500
birba san francisco,San Francisco,US,1,1700,2200
birba san francisco,San Francisco,US,2,1200,1500
birba san francisco,San Francisco,US,2,1700,2200
birba san francisco,San Francisco,US,3,1200,1500
birba san francisco,San Francisco,US,3,1700,2200
birba san francisco,San Francisco,US,4,1200,1500
birba san francisco,San Francisco,US,4,1700,2200
birba san francisco,San Francisco,US,5,1500,2200
birba san francisco,San Francisco,US,6,1100,1500
