Name,City,Country Code,Days,Start,End
bowl and plate at white shallot san jose,San Jose,US,1,1100,1400
bowl and plate at white shallot san jose,San Jose,US,1,1700,2100
bowl and plate at white shallot san jose,San Jose,US,2,1100,1400
bowl and plate at white shallot san jose,San Jose,US,2,1700,2100
bowl and plate at white shallot san jose,San Jose,US,3,1100,1400
bowl and plate at white shallot san jose,San Jose,US,3,1700,2100
bowl and plate at white shallot san jose,San Jose,US,4,1100,1400
bowl and plate at white shallot san jose,San Jose,US,4,1700,2100
bowl and plate at white shallot san jose,San Jose,US,5,1100,2100
bowl and plate at white shallot san jose,San Jose,US,6,1100,2100
